"annot","exactText","modality","statementType","drug1Lab","drug1Type","drug1Role","drug2Lab","drug2Type","drug2Role"
"urn:domeoclient:uuid:fa122be9-e083-454c-be3b-c348afec3b40","Coadministration of atomoxetine hydrochloride with potent inhibitors of CYP2D6, such as fluoxetine, paroxetine, or quinidine, results in a substantial increase in atomoxetine plasma exposure, and dosing adjustment may be necessary [see Warnings and Precautions (5.13)]. ","ncit:positive","ncit:Qualitative","paroxetine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","atomoxetine hydrochloride","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:f65cdfdc-3d09-4770-ab6c-86293a88ff8b","7.2 Effect of CYP2D6 Inhibitors on Atomoxetine In extensive metabolizers (EMs), inhibitors of CYP2D6 (e.g., paroxetine, fluoxetine, and quinidine) increase atomoxetine steady-state plasma concentrations to exposures similar to those observed in poor metabolizers (PMs). ","ncit:positive","ncit:Qualitative","fluoxetine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","atomoxetine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:f265d0b0-c4ab-420f-aa91-7719498eeee1","Based on known metabolic profiles, clinically significant drug interactions are not expected between REYATAZ (atazanavir sulfate) and fluvastatin, pravastatin, dapsone, trimethoprim/sulfamethoxazole, azithromycin, or erythromycin. REYATAZ does not interact with substrates of CYP2D6 (eg, nortriptyline, desipramine, metoprolol). ","ncit:negative","ncit:quantitative","REYATAZ","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/drug-product","dikbD2R:object-drug-of-interaction","azithromycin","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction"
"urn:domeoclient:uuid:f0a0107f-6ae2-4a9e-86f6-8f4180ebccfe","7.21 Theophylline Verapamil may inhibit the clearance and increase the plasma levels of theophylline. ","ncit:positive","ncit:Qualitative","theophylline","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","Verapamil","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction"
"urn:domeoclient:uuid:ef974812-bab1-4561-9731-7d4ce385cde0","Compounds that are potent inhibitors of CYP3A would be expected to increase plasma alprazolam concentrations. Drug products that have been studied in vivo, along with their effect on increasing alprazolam AUC, are as follows: ketoconazole, 3.98 fold; itraconazole, 2.70 fold; nefazodone, 1.98 fold; fluvoxamine, 1.96 fold; and erythromycin, 1.61 fold (see CONTRAINDICATIONS, WARNINGS, and PRECAUTIONS, Drug Interactions ).","ncit:positive","ncit:Qualitative","ketoconazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","alprazolam","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:ee3e9301-0275-440b-b3a1-274d6408b2b2","Compounds that are potent inhibitors of CYP3A would be expected to increase plasma alprazolam concentrations. Drug products that have been studied in vivo, along with their effect on increasing alprazolam AUC, are as follows: ketoconazole, 3.98 fold; itraconazole, 2.70 fold; nefazodone, 1.98 fold; fluvoxamine, 1.96 fold; and erythromycin, 1.61 fold (see CONTRAINDICATIONS, WARNINGS, and PRECAUTIONS, Drug Interactions ).","ncit:positive","ncit:Qualitative","fluvoxamine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","alprazolam","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:e933f2df-3e20-47f8-aea9-7ce2d2153c4e","Based on known metabolic profiles, clinically significant drug interactions are not expected between REYATAZ (atazanavir sulfate) and fluvastatin, pravastatin, dapsone, trimethoprim/sulfamethoxazole, azithromycin, or erythromycin. REYATAZ does not interact with substrates of CYP2D6 (eg, nortriptyline, desipramine, metoprolol). ","ncit:negative","ncit:quantitative","REYATAZ","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/drug-product","dikbD2R:precipitant-drug-of-interaction","pravastatin","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:e926fa75-b7de-4d6e-844f-e3a3322c355e","In a study comparing the disposition of intravenously administered diazepam before and after 21 days of dosing with either sertraline (50 to 200 mg/day escalating dose) or placebo, there was a 32% decrease relative to baseline in diazepam clearance for the sertraline group compared to a 19% decrease relative to baseline for the placebo group (p < 0.03). ","ncit:positive","ncit:quantitative","diazepam","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","sertraline","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction"
"urn:domeoclient:uuid:e3ba7d4a-c6af-4ade-adff-edb3c832c673","Although the mechanism is not fully understood, cyclosporine has been shown to increase the AUC of statins. The increase in AUC for simvastatin acid is presumably due, in part, to inhibition of CYP3A4. ","ncit:positive","ncit:Qualitative","simvastatin","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","cyclosporine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction"
"urn:domeoclient:uuid:e28e7a0b-bd1e-4fd0-9854-23786248be18","7.8 Antineoplastic Agents Verapamil can increase doxorubicin levels. The absorption of verapamil can be reduced by the cyclophosphamide, oncovin, procarbazine, prednisone (COPP) and the vindesine, adriamycin, cisplatin (VAC) cytotoxic drug regimens. Concomitant administration of R-verapamil can decrease the clearance of paclitaxel. ","ncit:positive","ncit:Qualitative","paclitaxel","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","verapamil","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction"
"urn:domeoclient:uuid:e0172491-3cfc-4bff-ad5e-35ccc1fe20c4","In a study comparing the disposition of intravenously administered diazepam before and after 21 days of dosing with either sertraline (50 to 200 mg/day escalating dose) or placebo, there was a 32% decrease relative to baseline in diazepam clearance for the sertraline group compared to a 19% decrease relative to baseline for the placebo group (p < 0.03). There was a 23% increase in T max for desmethyldiazepam in the sertraline group compared to a 20% decrease in the placebo group (p < 0.03). ","ncit:positive","ncit:quantitative","sertraline","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","desmethyldiazepam","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:d8b1dde4-bb9e-423a-8fb0-1979b1e38cbf","Coadministration of propoxyphene decreased the maximum plasma concentration of alprazolam by 6%, decreased clearance by 38%, and increased half-life by 58%.","ncit:positive","ncit:quantitative","propoxyphene","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","alprazolam","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:d24d4059-361f-46a5-9e76-f0bd18af1cb8","These individuals have reduced activity in this pathway resulting in 10-fold higher AUCs, 5-fold higher peak plasma concentrations, and slower elimination (plasma half-life of about 24 hours) of atomoxetine compared with people with normal activity [extensive metabolizers (EMs)]. Drugs that inhibit CYP2D6, such as fluoxetine, paroxetine, and quinidine, cause similar increases in exposure.  ","ncit:positive","ncit:Qualitative","atomoxetine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","fluoxetine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction"
